composer,sex,bipoc,race,country,continent,latitude,longitude,born,died
Nikolai Tcherepnin,M,N,White,Russia,Europe,59.9311,30.3609,1873,1945
Nikolay Rimsky‑Korsakov,M,N,White,Unknown,Europe,,,1844,1908
Nile Rodgers,M,Y,BIPOC,USA,North America,40.7128,-74.006,1952,
Nino Rota,M,N,White,Italy,Europe,45.46694444,9.19,1911,1979
Nkeiru Okoye,F,Y,BIPOC,USA,North America,40.7128,-74.006,1972,
Norah Jones,F,N,White,USA,North America,40.6782,-73.9442,1979,
Olivier Messiaen,M,N,White,France,Europe,43.94861111,4.808333333,1908,1992
One Republic,M,N,White,USA,North America,36.154,-95.9928,1979,
Orlando Rojas,M,Y,BIPOC,Bolivia,South America,-17.3935419,-66.1570139,1938,
Orlando de Lassus,M,N,White,Belgium,Europe,50.45472222,3.9525,1532,1594
"Oscar, II Hammerstein",M,N,White,USA,North America,40.7128,-74.006,1895,1960
Otis Redding,M,Y,BIPOC,USA,North America,31.7739,-84.4408,1941,1967
Otto Harbach,M,N,White,USA,North America,40.75,-111.8833333,1873,1963
Otto Singer II,M,N,White,Germany,Europe,51.0504,13.7373,1863,1931
Paramore,F,N,White,USA,North America,32.3643,-88.7037,1988,
Pat Benatar,F,N,White,USA,North America,40.65083333,-73.94972222,1953,
Patsy Cline,F,N,White,USA,North America,39.1783,-78.1667,1932,1963
Paul Creston,M,N,White,USA,North America,40.72833333,-73.99416667,1906,1985
Paul Hindemith,M,N,White,Germany,Europe,50.13277778,8.916944444,1895,1963
Paul Lansky,M,N,White,USA,North America,40.71277778,-74.00611111,1944,
Paul McCartney,M,N,White,UK,Europe,53.450885,-2.969255,1942,
Paul McCartney and John Lennon,M,N,White,UK,Europe,53.4084,-2.9916,1942,
Paul Williams,M,N,White,USA,North America,41.25861111,-95.9375,1940,
Pauline Viardot-García,F,N,White,Unknown,Europe,,,1821,1910
Pedro Ximénez Abril Tirado,M,Y,BIPOC,Unknown,South America,,,1784,1856
Percy Montrose,M,N,White,USA,North America,,,1851,1893
Pete Seeger,M,N,White,USA,North America,40.7128,-74.006,1919,
Peter Yarrow,M,N,White,USA,North America,40.72833333,-73.99416667,1938,
Phil Collins,M,N,White,UK,Europe,51.469011,-0.228598,1951,
Philip Glass,M,N,White,USA,North America,39.2904,-76.6122,1937,
Phoebe Knapp,F,N,White,USA,North America,40.7128,-74.006,1839,1908
Pierre Boulez,M,N,White,France,Europe,45.6075,4.065277778,1925,
Pierre Guetta,M,N,White,France,Europe,48.8566,2.3522,1967,
Pietro Mascagni,M,N,White,Italy,Europe,43.55,10.31666667,1863,1945
Pyotr Ilyich Tchaikovsky,M,N,White,Russia,Europe,57.0495,54.0164,1840,1893
Queen,M,N,White,Tanzania,Africa,-6.1622,39.1921,1946,1991
Queen Lili'uokalani,F,Y,BIPOC,USA,North America,21.3069,-157.8583,1838,1917
R. Nathaniel Dett,M,Y,BIPOC,Canada,North America,43.11666667,-79.06666667,1882,1943
Robert Nathaniel Dett,M,Y,BIPOC,Canada,North America,43.11666667,-79.06666667,1882,1943
Rachel Eubanks,F,N,White,USA,North America,37.30416667,-121.8727778,1994,
Radiohead,M,N,White,UK,Europe,51.6713,-1.2827,1968,
Ralph Vaughan Williams,M,N,White,UK,Europe,51.6667,-1.85,1872,1958
Ramón Luis,M,Y,BIPOC,Unknown,Unknown,,,1977,
Randy Crawford,F,Y,BIPOC,USA,North America,32.8407,-83.6324,1945,
Ray Davies,M,N,White,UK,Europe,51.5074,-0.1278,1944,
Ray Holman,M,Y,BIPOC,Trinidad and Tobago,North America,10.66666667,-61.51666667,1944,
Ray Noble,M,N,White,UK,Europe,50.8225,-0.1372,1903,1978
Ray Parker Jr.,M,Y,BIPOC,USA,North America,42.33166667,-83.0475,1954,
Rebecca Clarke,F,N,White,UK,Europe,51.5795,-0.3201,1886,1979
Redd Evans,M,N,White,USA,North America,32.36430556,-88.70366667,1912,1972
Reggie Calloway,M,Y,BIPOC,USA,North America,39.1,-84.5125,1955,
Reginald Bain,M,Y,BIPOC,USA,North America,,,1963,
Richard Chope,M,N,White,UK,Europe,51.1013,-3.9197,1830,1928
Richard Rodgers,M,N,White,USA,North America,40.71361111,-73.82805556,1902,1979
Richard Strauss,M,N,White,Germany,Europe,48.1375,11.575,1864,1949
Richard Wagner,M,N,White,Germany,Europe,51.3406321,12.3747329,1813,1883
Richard Wayne Penniman,M,Y,BIPOC,USA,North America,32.84069,-83.6324,1932,
Rick Astley,M,N,White,UK,Europe,53.45,-2.633,1966,
Rick James,M,Y,BIPOC,USA,North America,42.8864,-78.8784,1948,
Rick Nielsen,M,N,White,USA,North America,41.8995,-87.9403,1948,
Rihanna,F,Y,BIPOC,Barbados,North America,13.11805556,-59.60305556,1988,
Ritchie Blackmore,M,N,White,UK,Europe,51.34777778,-2.978055556,1945,
Robert Franz,M,N,White,Germany,Europe,51.48277778,11.96972222,1815,1892
Robert Johnson,M,Y,BIPOC,USA,North America,31.8604,-90.3957,1911,1938
Robert Lamm,M,N,White,USA,North America,40.65083333,-73.94972222,1944,
Robert Owens,M,N,White,USA,North America,41.88194444,-87.62777778,1925,
Robert Schumann,M,N,White,Germany,Europe,50.71888889,12.49611111,1810,1856
Robert Stanley Weir,M,N,White,Canada,North America,43.25666667,-79.86916667,1856,1926
Robin Campbell,M,N,White,UK,Europe,52.4862,-1.8904,1956,
Roger Cook,M,N,White,UK,Europe,51.4816,-2.53,1940,
Roger Glover,M,N,White,UK,Europe,51.94677,-3.39086,1945,
Roger Graham,M,N,White,USA,North America,41.82399,-71.41283,1885,1938
Roger Greenaway,M,N,White,UK,Europe,51.4816,-2.53,1938,
Rolf Rudin,M,N,White,France,Europe,50.11055556,8.682222222,1961,
Ronald White,M,Y,BIPOC,USA,North America,42.3314,-83.0458,1939,1995
Ronnie Taupin,M,N,White,UK,Europe,52.998,-0.409,1950,
Ronnie Van Zant,M,N,White,USA,North America,30.31666667,-81.65,1948,1977
Roquel Davis,M,Y,BIPOC,USA,North America,42.3314,-83.0458,1931,
Rosa Giacinta Badalla,F,N,White,Italy,Europe,45.46694444,9.19,1660,1710
Rose Dale,F,N,White,Unknown,Unknown,,,,
Rose Giacinta Badalla,F,N,White,Italy,Europe,44.6471,10.9252,1660,1710
Ross Lee Finney,M,N,White,USA,North America,43.74611111,-93.72888889,1906,1997
Ruth Crawford,F,N,White,USA,North America,40.6286,-80.5692,1901,1953
Ruth Crawford Seeger,F,N,White,USA,North America,40.6286,-80.5692,1901,1953
Sakari Abe,M,N,White,Japan,Asia,,,1905,1955
Salt-n-Pepa,F,Y,BIPOC,USA,North America,40.7282,-73.7949,1985,
Sam and Dave,M,Y,BIPOC,USA,North America,25.7617,-80.1918,1935,
Samuel Adler,M,N,White,Germany,Europe,49.48777778,8.466111111,1928,
Samuel Barber,M,N,White,USA,North America,39.9586,-75.605,1910,1981
Samuel Coleridge-Taylor,M,Y,BIPOC,Italy,Europe,51.50722222,-0.1275,1875,1912
Samuel Francis Smith,M,N,White,USA,North America,42.36027778,-71.05777778,1808,1895
Samuel Webbe,M,N,White,Spain,Europe,39.88944444,4.264166667,1740,1816
Sara Bareilles,F,N,White,USA,North America,40.80194444,-124.1636111,1979,
Scott Joplin,M,Y,BIPOC,USA,North America,33.4372,-94.0675,1868,1917
Scott Weiland,M,N,White,USA,North America,37.3382,-121.8863,1967,
Selena Gomez,F,Y,BIPOC,USA,North America,32.715278,-97.016944,1992,
Sergei Rachmaninov,M,N,White,Russia,Europe,58.5329,31.2785,1873,1943
Sergey Prokofiev,M,N,White,Ukraine,Europe,48.04888889,37.19055556,1891,1953
Shabba Ranks,M,Y,BIPOC,Jamaica,North America,18.2,-77.467,1966,
Shawn Carter,M,Y,BIPOC,USA,North America,40.65083333,-73.94972222,1969,
Shawn Mendes,M,N,White,Canada,North America,43.8384,-79.0868,1998,
Shulamit Ran,F,N,White,Israel,Asia,32.08,34.78,1949,
Sid Wyche,M,Y,BIPOC,USA,North America,37.02638889,-76.34444444,1922,1983
Sidney Lambert,M,Y,BIPOC,USA,North America,29.9509,-90.0758,1838,1905
Simple Minds,Unknown,N,White,UK,Europe,55.8642,-4.2518,,
Sir Arthur Sullivan,M,N,White,Italy,Europe,51.50722222,-0.1275,1842,1900
Sofia Gubaidulina,F,N,White,Russia,Europe,55.36666667,50.63333333,1931,
Sophia Dussek,F,N,White,UK,Europe,55.9533,-3.1883,1775,1847
Sophia Maria Westenholz,F,N,White,Germany,Europe,53.55694444,13.26083333,1759,1838
Sophie Gail,F,N,White,France,Europe,48.85666667,2.352222222,1775,1819
Sophie de Auguste Weyrauch,F,N,White,Germany,Europe,,,1847,1921
Spencer Williams,M,Y,BIPOC,USA,North America,29.97611111,-90.07833333,1889,1965
Spice Girls,F,N,White,UK,Europe,51.5074,-0.1278,1972,
Stacy,F,N,White,USA,North America,33.9931,-117.9687,1975,
Stan Vincent,M,N,White,USA,North America,41.8781,-87.6298,1944,
Stefani,F,N,White,USA,North America,40.7128,-74.006,1986,
Stephen Foster,M,N,White,USA,North America,40.4675,-79.96055556,1828,1864
Stephen Sondheim,M,N,White,USA,North America,,,1930,
Steve Reich,M,N,White,USA,North America,40.7128,-74.006,1936,
Steven Foster,M,N,White,USA,North America,40.4406,-79.9959,1826,1864
Steven Lee Olsen,M,N,White,Canada,North America,44.0592,-79.4613,1985,
Stevie Wonder,M,Y,BIPOC,USA,North America,43.4199247,-83.9500261,1950,
Sting,M,N,White,UK,Europe,54.9916,-1.5334,1951,
Sufjan Stevens,M,N,White,USA,North America,42.33166667,-83.0475,1975,
Survivor,Unknown,N,White,USA,North America,41.8781,-87.6298,,
Suzanne Farrin,F,N,White,USA,North America,43.8574,70.2389,1970,
Sylvano Bussotti,M,N,White,Italy,Europe,43.77138889,11.25416667,1931,
TLC,F,Y,BIPOC,USA,North America,41.5868,-93.625,1970,
Tan Dun,M,Y,BIPOC,China,Asia,28.19874,112.97087,1957,
Tania León,F,Y,BIPOC,Unknown,North America,,,1943,
Taylor Swift,F,N,White,USA,North America,40.3337,-75.9474,1989,
Tekla Bądarzewska-Baranowska,F,N,White,Unknown,Europe,,,1834,1861
Teresa Carreño,F,N,White,Unknown,South America,,,1853,1917
Teresa Milanollo,F,N,White,Italy,Europe,44.6458,7.6612,1827,1904
Terry Riley,M,N,White,USA,North America,40.9478,-120.9568,1935,
The Animals,M,N,White,UK,Europe,54.9783,-1.6178,1941,
The Beatles,M,N,White,UK,Europe,53.4084,-2.9916,1942,
The Chantays,M,N,White,USA,North America,33.7455,-117.8677,1960,
The Chieftains,M,N,White,Ireland,Europe,53.3498,-6.2603,1930,
The Emotions,F,Y,BIPOC,USA,North America,41.8781,-87.6298,1951,
The Longest Johns,M,N,White,UK,Europe,51.4545,-2.5879,1990,
The Penguins,Unknown,N,White,USA,North America,34.0522,-118.2437,,
The Rembrandts,M,N,White,USA,North America,34.0522,-118.2437,1989,
The Supremes,F,Y,BIPOC,USA,North America,42.3314,-83.0458,1944,
Thelonious Monk,M,Y,BIPOC,USA,North America,35.954112,-77.805572,1917,1982
Theophania Cecil,F,N,White,UK,Europe,51.5072,-0.1276,1811,1889
Theresia Demar,F,N,White,Germany,Europe,48.76333333,8.334166667,1786,1858
Thomas Adès,M,N,White,Unknown,Europe,,,1971,
Thomas Bangalter,M,N,White,France,Europe,48.85666667,2.352222222,1975,
Thomas Luis Victoria,M,N,White,Spain,Europe,40.6564,-4.7003,1548,1611
Thomas Moore,M,N,White,UK,Europe,51.2354,-0.5746,1770,1852
Thomas Morley,M,N,White,UK,Europe,52.62861111,1.292777778,1557,1602
Thomas Tallis,M,N,White,UK,Europe,51.19,0.73,1505,1585
Thomas Wiggins,M,N,White,USA,North America,32.74,-84.91,1834,1909
Tim Rice,M,N,White,UK,Europe,51.674,-0.607,1944,
Tiësto,M,N,White,Unknown,Europe,,,1969,
Toby Gad,M,N,White,Germany,Europe,48.1375,11.575,1972,
Tom Jones,M,N,White,UK,Europe,51.6016,-3.342,1928,
Tom Turpin,M,Y,BIPOC,USA,North America,32.05083333,-81.10388889,1871,1922
Tommaso Giordani,M,N,White,Italy,Europe,40.8518,14.2681,1730,1806
Tomás Giribaldi,M,Y,BIPOC,Unknown,South America,,,1850,1930
Tomás Luis de Victoria,M,N,White,Unknown,Europe,,,1548,1611
Too Many Zooz,Unknown,N,White,USA,North America,40.4387,-79.9972,,
Toru Takemitsu,M,Y,BIPOC,Japan,Asia,35.67666667,139.7647222,1930,1996
Trent Reznor,M,N,White,USA,North America,40.9972,-80.3444,1965,
Trevor Nunn,M,N,White,UK,Europe,52.0567,1.1482,1940,
Tui St. George Tucker,F,N,White,USA,North America,33.88,-117.9286111,1924,
Tye Tribbett,M,Y,BIPOC,USA,North America,39.9368,-75.1066,1977,
U2,Unknown,N,White,Ireland,Europe,53.3331,-6.2489,,
Ulysses Kay,M,N,White,USA,North America,32.22166667,-110.9263889,1917,1995
Undine S. Moore,F,Y,BIPOC,USA,North America,36.8138,-77.4744,1904,1989
Ursula Mamlok,F,N,White,Germany,Europe,52.51666667,13.38333333,1923,
Vera Matson,F,N,White,USA,North America,,,,
Vicki Sue Robinson,F,Y,BIPOC,USA,North America,40.8116,-73.9465,1954,
Victor A. Lalo,M,N,White,France,Europe,48.8566,2.3522,1823,1892
Victor Herbert,M,N,White,UK,Europe,53.34972222,-6.260277778,1859,1924
Victor Young,M,N,White,USA,North America,41.88194444,-87.62777778,1900,1956
Vincent Rose,M,N,White,Italy,Europe,38.11565806,13.36126194,1880,1944
Vincenzo Bellini,M,N,White,Italy,Europe,37.50266944,15.08726944,1801,1835
Violet Archer,F,N,White,Canada,North America,45.5033426,-73.5868411,1913,
Vittoria Aleotti,F,N,White,Italy,Europe,44.83916667,11.6175,1575,1620
Vulfpeck,M,N,White,USA,North America,42.2808,-83.743,1987,
W. A. Mozart,M,N,White,Austria,Europe,47.8,13.045,1756,1791
W.A. Mozart,M,N,White,Austria,Europe,47.8095,13.055,1756,1791
Walter Becker,M,N,White,USA,North America,40.7282,-73.7949,1950,
Wilhelmine von Troschke,F,N,White,Germany,Europe,51.134,16.8842,,
Wilhelmine von Troschke und Rosenwerth,F,N,White,Germany,Europe,51.134,16.8842,1775,1830
Will Marion Cook,M,Y,BIPOC,USA,North America,38.895,-77.03666667,1869,1944
William,M,Y,BIPOC,USA,North America,34.0522,-118.2437,1975,
William Backer,M,N,White,USA,North America,,,1926,
William Bolcom,M,N,White,USA,North America,47.605,-122.33,1938,
William Byrd,M,N,White,UK,Europe,53.1,-0.2,1543,1623
William Christopher Handy,M,Y,BIPOC,USA,North America,34.7998,-87.6773,1873,1958
William F. Sherwin,M,N,White,Unknown,North America,,,1826,1888
William Robinson,M,Y,BIPOC,Ireland,Europe,53.5,-7.5,1940,
Willie Smith,M,Y,BIPOC,USA,North America,32.78333333,-79.93194444,1903,1983
Wilson Pickett,M,Y,BIPOC,USA,North America,32.459135,-86.451305,1941,
Wings,M,N,White,UK,Europe,53.4084,-2.9916,1942,
Wipo of Burgundy,M,N,White,France,Europe,47.0525,4.3837,995,1048
Witold Lutoslawski,M,N,White,Unknown,Europe,,,1913,1994
Wiz Khalifa,M,Y,BIPOC,USA,North America,48.2325,-101.2962778,1987,
Wolfgang Amadeus Mozart,M,N,White,Austria,Europe,47.8095,13.055,1756,1791
Zenobia Powell Perry,F,Y,BIPOC,USA,North America,35.49277778,-96.48166667,1908,
Élisabeth Jacquet de la Guerre,F,N,White,France,Europe,48.85666667,2.352222222,1665,1729
Émile Waldteufel,M,N,White,Unknown,Europe,,,1837,1915
Étienne Méhul,M,N,White,Unknown,Europe,,,1763,1817
